iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false
250	0.4123366862	0.8112796919	0.7794666667	0.8186922395	0.4615885417
251	0.4121118601	0.8115796319	0.78	0.818928221	0.462190352
252	0.4118994779	0.8115046469	0.7798666667	0.8188692129	0.4620397524
253	0.4118635212	0.8115796319	0.78	0.818928221	0.462190352
254	0.4116478596	0.81270657	0.7801333333	0.8202318022	0.4630413546
255	0.4114801644	0.8125566	0.7798666667	0.8201137514	0.4627399935
256	0.4112151065	0.8135324866	0.7806666667	0.8210891032	0.4639947866
257	0.4109052232	0.8136824566	0.7809333333	0.8212072687	0.464297359
258	0.4108396899	0.8138324266	0.7812	0.8213254682	0.4646003263
259	0.4105430223	0.8139074116	0.7813333333	0.8213845808	0.4647519582
260	0.4102772235	0.8139823966	0.7814666667	0.8214437018	0.4649036892
261	0.4100796917	0.8138324266	0.7812	0.8213254682	0.4646003263
262	0.4099922885	0.8140573816	0.7816	0.8215028314	0.4650555193
263	0.4097557377	0.8146583431	0.7817333333	0.8221823121	0.4655566438
264	0.4096103475	0.8145833581	0.7816	0.8221231678	0.4654046997
265	0.4092925054	0.8148083131	0.782	0.8223006263	0.4658608298
266	0.4090293734	0.8145833581	0.7816	0.8221231678	0.4654046997
267	0.4088150843	0.8145833581	0.7816	0.8221231678	0.4654046997
268	0.4085543072	0.8148083131	0.782	0.8223006263	0.4658608298
269	0.4084704575	0.8146583431	0.7817333333	0.8221823121	0.4655566438
270	0.4083269379	0.8147333281	0.7818666667	0.822241465	0.4657086871
271	0.4081653715	0.8142823366	0.782	0.8216802711	0.4655116051
272	0.4080305833	0.8150332682	0.7824	0.8224781615	0.4663178548
273	0.4079154319	0.8150332682	0.7824	0.8224781615	0.4663178548
274	0.4077959437	0.8153332082	0.7829333333	0.8227149944	0.4669286182
275	0.4075183471	0.8157831182	0.7837333333	0.8230704995	0.467847769
